Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,Subtitle_de,Subtitle_ru,Subtitle_pl,StartTime,EndTime,File_ID,utt_id,arousal_value,model_input
52,Cause I don't need your stupid ship.,Rachel,anger,negative,5,10,2,7,Und vergiss dein bescheuertes Boot nicht!,Сдался мне твой дурацкий корабль!,Wciągnij żagle!,0 days 00:19:29.835000,0 days 00:19:31.210000,dia5_utt10.mp4,dia5_utt10,0.9394916296,<high_arousal> Cause I don't need your stupid ship.
53,Good.,Ross,anger,negative,5,11,2,7,Gut!,Хорошо!,Dobrze.,0 days 00:19:31.378000,0 days 00:19:32.440000,dia5_utt11.mp4,dia5_utt11,0.9698283672,<high_arousal> Good.
54,Good.,Rachel,anger,negative,5,12,2,7,Gut!,Хорошо!,Dobrze.,0 days 00:19:32.440000,0 days 00:19:33.256000,dia5_utt12.mp4,dia5_utt12,0.4985805154,<low_arousal> Good.
55,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",Jade,sadness,negative,8,0,2,5,"Ach, Bob, mit dir kommt er einfach nicht mit. Ich musste mir auf die Lippen beißen, damit ich nicht deinen Namen schrie.","Ему так далеко до тебя. Мне пришлось закусывать губу, чтобы не выкрикнуть твое имя. Мне это так приятно слышать.","Bob, w porównaniu z tobą to nic. Zagryzałam wargi, by nie krzyczeć ""Bob"".",0 days 00:16:47.631000,0 days 00:16:57.223000,dia8_utt0.mp4,dia8_utt0,0.5832004547,"<high_arousal> Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name."
75,"Well, that makes me feel so good.",Chandler,joy,positive,8,1,2,5,"Das erfüllt mich mit Stolz, ich danke dir.",Мне это так приятно слышать.,Miło mi to słyszeć.,0 days 00:16:59.810000,0 days 00:17:02.437000,dia8_utt1.mp4,dia8_utt1,0.5746558905,"<high_arousal> Well, that makes me feel so good."
76,It was just so awkward and bumpy.,Jade,neutral,neutral,8,2,2,5,Es war ausgesprochen tölpelhaft.,Это было так неловко и тряско.,Był niezręczny i podskakiwał.,0 days 00:17:03.272000,0 days 00:17:05.704000,dia8_utt2.mp4,dia8_utt2,0.7852029204,<high_arousal> It was just so awkward and bumpy.
77,Bumpy?,Ross,surprise,negative,8,3,2,5,Tölpelhaft?,,Podskakiwał?,0 days 00:17:05.704000,0 days 00:17:05.961000,dia8_utt3.mp4,dia8_utt3,0.5296574831,<high_arousal> Bumpy?
78,"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",Chandler,neutral,neutral,8,4,2,5,"Vielleicht hatte er einfach nur einen coolen Stil drauf, den du nicht kennst.","Может, это у него такой новый крутой незнакомый тебе стиль.","Może to jakiś nowy fajny styl, którego nie znasz.",0 days 00:17:07.818000,0 days 00:17:12.155000,dia8_utt4.mp4,dia8_utt4,0.5651775599,"<high_arousal> Well, maybe he had some kind of uh, new, cool style, that you're not familiar with."
79,And uh maybe you have to get used to it.,Chandler,neutral,neutral,8,5,2,5,Das ist bestimmt nur Gewöhnungssache.,"Может, надо привыкнуть.",Przyzwyczaj się.,0 days 00:17:12.948000,0 days 00:17:14.574000,dia8_utt5.mp4,dia8_utt5,0.5610898137,<high_arousal> And uh maybe you have to get used to it.
80,"Well there really wasn't much time to get used to it, you know what I mean?",Jade,joy,positive,8,6,2,5,"Es blieb mir nicht sehr viel Zeit, mich daran zu gewöhnen.","У меня не было времени, чтобы привыкать, если ты понимаешь, о чём я.",Nie było czasu się przyzwyczaić... jeśli chcesz wiedzieć.,0 days 00:17:14.742000,0 days 00:17:18.244000,dia8_utt6.mp4,dia8_utt6,0.5125997663,"<high_arousal> Well there really wasn't much time to get used to it, you know what I mean?"
81,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,Und was hast du so gemacht?,Что у тебя новенького?,I co ostatnio porabiasz?,0 days 00:01:51.903000,0 days 00:01:54.738000,dia9_utt0.mp4,dia9_utt0,0.6635773182,<high_arousal> What've you been up to?
97,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,"Na, so Verschiedenes. Aerobic unterrichtet, bin auf zu viele Partys gegangen.",Да всё по-старому. Преподаю аэробику... Постоянно хожу на вечеринки.,"Och, wiesz, to co zwykle: aerobik, imprezy, za dużo imprezowania.",0 days 00:01:54.948000,0 days 00:02:01.203000,dia9_utt1.mp4,dia9_utt1,0.7821566463,"<high_arousal> Oh, you know, the usual, teaching aerobics, partying way too much."
98,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,"Und falls es dich interessiert, die Beine auf dem neuen James Bond Poster sind meine.","Если тебе интересно, то да, это мои ноги на новом плакате с Джеймсом Бондом.",A jeśli się zastanawiasz — to są moje nogi na nowym plakacie Jamesa Bonda.,0 days 00:02:01.621000,0 days 00:02:07.459000,dia9_utt2.mp4,dia9_utt2,0.5586284399,"<high_arousal> Oh, and in case you were wondering, those are my legs on the new James Bond poster."
99,Can you hold on a moment? I have another call. I love her.,Chandler,joy,positive,9,3,2,5,"Warte mal bitte, ich hab da noch'n Anruf. Die wär die Richtige!",Подождешь минутку? Мне звонят. Я люблю ее!,"Poczekaj chwilę, mam drugi telefon. Kocham ją.",0 days 00:02:10.547000,0 days 00:02:14.758000,dia9_utt3.mp4,dia9_utt3,0.7295678258,<high_arousal> Can you hold on a moment? I have another call. I love her.
100,I know.,Ross,neutral,neutral,9,4,2,5,Find ich auch.,Еще бы.,Wiem.,0 days 00:02:13.091000,0 days 00:02:14.758000,dia9_utt4.mp4,dia9_utt4,0.6239160895,<high_arousal> I know.
101,I'm back.,Chandler,neutral,neutral,9,5,2,5,Ich bin wieder dran.,Я здесь.,Już jestem.,0 days 00:02:16.261000,0 days 00:02:16.903000,dia9_utt5.mp4,dia9_utt5,0.6434699893,<high_arousal> I'm back.
102,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,Wollen wir uns mal wieder treffen?,Так мы встретимся?,"To co, spotkamy się czy nie?",0 days 00:02:16.903000,0 days 00:02:19.185000,dia9_utt6.mp4,dia9_utt6,0.5530720949,"<high_arousal> So, are we gonna get together or what?"
103,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,"Und ob wir das wollen. Wie wär's mit morgen Nachmittag? Kennst du das 'Central Perk'? Sagen wir, so gegen fünf?","Может, завтра днем? Давай в «Центральная кофейня»? Где-то около пяти?",Oczywiście. Jutro wieczorem? Znasz Central Perk? O 17:00?,0 days 00:02:19.347000,0 days 00:02:25.561000,dia9_utt7.mp4,dia9_utt7,0.7486682534,"<high_arousal> Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?"
104,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,"Ja, gern, also, bis dann.",Хорошо. До встречи.,Świetnie. To do zobaczenia.,0 days 00:02:25.770000,0 days 00:02:28.647000,dia9_utt8.mp4,dia9_utt8,0.6930884123,"<high_arousal> Great, I'll see you then."
105,Ok. Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,O.k. So ein Telefon ist doch wirklich eine Super-Erfindung.,Договорились. Наконец-то хоть какая-то польза от телефона!,Więc opłaca się mieć telefon.,0 days 00:02:32.318000,0 days 00:02:34.528000,dia9_utt9.mp4,dia9_utt9,0.4832187295,<low_arousal> Ok. Ok. Having a phone has finally paid off.
106,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,"Am Telefon hat das ja prima geklappt aber wenn ihr euch morgen im Cafè trefft, wird sie merken, dass du nicht Bob bist.","Да, твой голос похож на голос Боба, но когда она тебя завтра увидит, то поймет, что ты вовсе не Боб.","Robisz Bobowe wrażenie. . . ale gdy cię zobaczy. . . pozna, że żaden z ciebie Bob.",0 days 00:02:36.823000,0 days 00:02:43.620000,dia9_utt10.mp4,dia9_utt10,0.7037260532,"<high_arousal> Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."""
107,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,"Weil der liebe Bob nicht aufgetaucht ist, wird sie Trost in den Armen eines Fremden suchen.","Я надеюсь, что когда Боб не явится, она будет готова принять утешение от незнакомца за соседним столиком.","Liczę na to, że Bob się nie pojawi. . . a ona poszuka pocieszenia w ramionach obcego.",0 days 00:02:47.375000,0 days 00:02:52.337000,dia9_utt11.mp4,dia9_utt11,0.6241428852,"<high_arousal> I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table."
108,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"Also, das ist aber ganz schön fies von dir.",Боже. Да ты воплощение зла.,Boże. Jesteś czystym złem.,0 days 00:02:52.547000,0 days 00:02:55.299000,dia9_utt12.mp4,dia9_utt12,0.7745007277,<high_arousal> Oh my god. You are pure evil.
109,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,Das ist sogar superfies. Doch wen interessiert das? Denn ich bin sehr einsam.,Воплощение зла...Возбужденный и одинокий. Это одно и то же.,Czyste zło. . . samotność i ochota. Dobra nasza.,0 days 00:02:56.634000,0 days 00:03:05.058000,dia9_utt13.mp4,dia9_utt13,0.8087469935,"<high_arousal> Ok, pure evil , horny and alone . I've done this"
110,"So, um, have you told your parents?",Phoebe,neutral,neutral,21,0,2,4,Und deine Eltern wissen Bescheid?,Ты сказал об этом своим родителям?,Powiedziałeś już rodzicom?,0 days 00:17:25.711000,0 days 00:17:28.337000,dia21_utt0.mp4,dia21_utt0,0.6104972363,"<high_arousal> So, um, have you told your parents?"
218,"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",Duncan,neutral,neutral,21,1,2,4,"Nein, aber das wird schon gut gehen, die sind ganz cool.","Нет, но всё будет хорошо. Они довольно современные. Мой брат натурал, так что...","Nie, ale będzie dobrze. Są w porządku. Mój brat jest hetero, więc. . .",0 days 00:17:28.839000,0 days 00:17:34.385000,dia21_utt1.mp4,dia21_utt1,0.6662880182,"<high_arousal> No, but it'll be OK, they're pretty cool, my brother's straight so. . ."
219,Here you go.,Phoebe,neutral,neutral,21,2,2,4,"Na gut, hier.",Ну вот и всё.,Proszę.,0 days 00:17:35.888000,0 days 00:17:37.305000,dia21_utt2.mp4,dia21_utt2,0.7732361555,<high_arousal> Here you go.
220,"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",Phoebe,neutral,neutral,21,3,2,4,"Ich hab da aber noch eine Frage. Wenn du es früher entdeckt hättest und ich wär im Moment da gewesen hätte es sein können, dass du dich vielleicht in mich...","Если бы ты понял это раньше, и я была бы рядом, думаешь, мы могли бы быть вместе?","Mam jeszcze jedno pytanie. Gdybyś zrozumiał to wcześniej, a ja byłabym w pobliżu. . . czy może to ja byłabym tą. . .?",0 days 00:17:37.556000,0 days 00:17:48.441000,dia21_utt3.mp4,dia21_utt3,0.8538753986,"<high_arousal> You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who."
221,"no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better.",Phoebe,sadness,negative,21,4,2,4,"Nein, sag jetzt lieber nichts. Es könnte sein, dass mich deine Antwort nur deprimieren würde, hier.","Не думаю, что твой ответ как-то облегчит мне жизнь.",Nie. Nie mów mi. Żadna odpowiedź nie poprawi mi humoru. Proszę.,0 days 00:17:49.443000,0 days 00:17:55.698000,dia21_utt4.mp4,dia21_utt4,0.4784241915,"<low_arousal> no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better."
224,I love you Phoebe.,Duncan,joy,positive,21,5,2,4,"Du weißt, dass ich dich sehr mag.","Я люблю тебя, Фиби.",Kocham cię.,0 days 00:17:57.701000,0 days 00:17:58.868000,dia21_utt5.mp4,dia21_utt5,0.4655509293,<low_arousal> I love you Phoebe.
225,So your brother's straigh huh? Seriously.,Phoebe,surprise,positive,21,6,2,4,"Und dein Bruder ist nicht schwul, hä?",Так твой брат натурал?,Więc twój brat jest hetero? Pytam serio.,0 days 00:18:14.176000,0 days 00:18:16.511000,dia21_utt6.mp4,dia21_utt6,0.5236704946,<high_arousal> So your brother's straigh huh? Seriously.
226,"All right, that's it, I quit.",Phoebe,anger,negative,25,0,2,1,"Das war's, ich hör auf.","Так, всё. С меня хватит.",Dosyć. Rezygnuję.,0 days 00:13:25.095000,0 days 00:13:26.555000,dia25_utt0.mp4,dia25_utt0,0.6176453233,"<high_arousal> All right, that's it, I quit."
296,What? I didn't say anything.,Monica,surprise,negative,25,1,2,1,Wieso denn? Ich sag doch gar nichts!,Почему? Я молчала!,Co? Nic nie mówiłam!,0 days 00:13:26.555000,0 days 00:13:28.453000,dia25_utt1.mp4,dia25_utt1,0.9363560677,<high_arousal> What? I didn't say anything.
297,"Yeah, but this isn't the face of a person who trusts a person.",Phoebe,anger,negative,25,2,2,1,"Aber das ist nicht das Gesicht eines Menschen, der einem anderen vertraut.","Да, но это не то выражение лица, которое говорит о доверии.","To nie jest wyraz twarzy osoby, która komuś ufa.",0 days 00:13:28.557000,0 days 00:13:32.310000,dia25_utt2.mp4,dia25_utt2,0.7495879531,"<high_arousal> Yeah, but this isn't the face of a person who trusts a person."
298,"Ok, this is the face of a person who, you know, doesn't trust a person.",Phoebe,anger,negative,25,3,2,1,"Das ist das Gesicht eines Menschen, der einem anderen Menschen nicht vertraut, kapiert?","Это выражение лица, которое, ты знаешь, не говорит о доверии.","To wyraz twarzy osoby, która, wiesz... komuś nie ufa.",0 days 00:13:32.478000,0 days 00:13:37.690000,dia25_utt3.mp4,dia25_utt3,0.7567067146,"<high_arousal> Ok, this is the face of a person who, you know, doesn't trust a person."
299,"I'm sorry. I'm sorry, Phoebe. It's just a little shorter than what we had discussed.",Monica,sadness,negative,25,4,2,1,Es tut mir Leid. Es tut mir Leid. Aber es ist kürzer als ich es mir vorgestellt hab.,"Прости. Извини, Фиби. Просто получилось немного короче чем то, что мы обсуждали.",Przepraszam. Wybacz. Są tylko trochę krótsze niż się umawiałyśmy.,0 days 00:13:38.818000,0 days 00:13:44.405000,dia25_utt4.mp4,dia25_utt4,0.7142401338,"<high_arousal> I'm sorry. I'm sorry, Phoebe. It's just a little shorter than what we had discussed."
300,Would you relax? I know what I am doing. This is how he wears it.,Phoebe,anger,negative,25,5,2,1,"Aber beruhige dich, ja? Ich weiß, was ich zu tun habe. Er trägt doch genau diesen Haarschnitt.","Может расслабишься уже? Я знаю, что делаю.","Lepiej się odpręż. Wiem, co robię. On właśnie tak je nosi.",0 days 00:13:44.573000,0 days 00:13:50.870000,dia25_utt5.mp4,dia25_utt5,0.7253549099,<high_arousal> Would you relax? I know what I am doing. This is how he wears it.
301,Julie.,Monica,neutral,neutral,26,0,2,2,Julie.,Джули.,Julie.,0 days 00:10:42.642000,0 days 00:10:43.185000,dia26_utt0.mp4,dia26_utt0,0.5782418251,<high_arousal> Julie.
302,What?!,Rachel,surprise,negative,26,1,2,2,Was?,Что?,Co?,0 days 00:10:43.185000,0 days 00:10:43.747000,dia26_utt1.mp4,dia26_utt1,0.5596476793,<high_arousal> What?!
303,Jody!,Monica,surprise,negative,26,2,2,2,Jody!,Джоди!,Jody!,0 days 00:10:43.747000,0 days 00:10:45.255000,dia26_utt2.mp4,dia26_utt2,0.5798876286,<high_arousal> Jody!
304,You were with Julie?,Rachel,neutral,neutral,26,3,2,2,Du warst mit Julie essen?,Ты была с Джули?,Byłaś z Julie?,0 days 00:10:46.812000,0 days 00:10:50.523000,dia26_utt3.mp4,dia26_utt3,0.7247911692,<high_arousal> You were with Julie?
305,"Look, when it started I was just trying to be nice to her because she was my brother's girlfriend.",Monica,neutral,neutral,26,4,2,2,"Anfangs wollte ich nur ein bisschen nett zu dem Mädchen sein, immerhin ist sie mit meinem Bruder befreundet.","Когда это началось, я просто пыталась быть милой, она же девушка моего брата.","Z początku chciałam tylko być dla niej miła, bo to dziewczyna mego brata.",0 days 00:10:50.691000,0 days 00:10:56.363000,dia26_utt4.mp4,dia26_utt4,0.7202643156,"<high_arousal> Look, when it started I was just trying to be nice to her because she was my brother's girlfriend."
306,"And then, one thing led to another and, before I knew it, we were...shopping.",Monica,neutral,neutral,26,5,2,2,"Und bevor ich mich versah, waren wir beide... einkaufen.","Но потом одно за другим, и, прежде чем я опомнилась, мы уже ходили по магазинам.","A potem, od słowa do słowa, nim się zorientowałam, poszłyśmy... na zakupy.",0 days 00:10:56.530000,0 days 00:11:02.786000,dia26_utt5.mp4,dia26_utt5,0.874011755,"<high_arousal> And then, one thing led to another and, before I knew it, we were...shopping."
307,Oh. Oh my God.,Rachel,surprise,negative,26,6,2,2,Du meine Güte!,Да ты что!,O Boże!,0 days 00:11:09.669000,0 days 00:11:11.336000,dia26_utt6.mp4,dia26_utt6,0.8486127853,<high_arousal> Oh. Oh my God.
308,"Honey, wait. We only did it once. It didn't mean anything to me.",Monica,sadness,negative,26,7,2,2,Ich war nur ein einziges Mal mit ihr weg. Und es hat mir wirklich gar nichts bedeutet!,"Постой, это было лишь однажды. Это ничего не значило!","Kochanie, zaczekaj. Zrobiłyśmy to tylko raz. To nic nie znaczyło!",0 days 00:11:12.755000,0 days 00:11:18.510000,dia26_utt7.mp4,dia26_utt7,0.7047802806,"<high_arousal> Honey, wait. We only did it once. It didn't mean anything to me."
309,"Yeah, right. Sure!",Rachel,anger,negative,26,8,2,2,,,"Tak, jasne!",0 days 00:11:20.012000,0 days 00:11:21.805000,dia26_utt8.mp4,dia26_utt8,0.4959008694,"<low_arousal> Yeah, right. Sure!"
310,"Really, Rachel, I was thinking of you the whole time.",Monica,sadness,negative,26,9,2,2,"Rachel, ich hab die ganze Zeit nur an dich gedacht.","Рэйчел, я всё время думала о тебе.","Naprawdę Rachel, cały czas myślałam o tobie.",0 days 00:11:21.972000,0 days 00:11:24.849000,dia26_utt9.mp4,dia26_utt9,0.5831298232,"<high_arousal> Really, Rachel, I was thinking of you the whole time."
311,"Look, I'm sorry, all right.",Monica,sadness,negative,26,10,2,2,Es tut mir wirklich Leid.,"Слушай, прости, ладно?",Wybacz mi.,0 days 00:11:27.853000,0 days 00:11:30.865000,dia26_utt10.mp4,dia26_utt10,0.6431095004,"<high_arousal> Look, I'm sorry, all right."
312,I never meant for you to find out!,Monica,sadness,negative,26,11,2,2,"Ich wollte nicht, dass du es erfährst!","Я не хотела, чтобы ты узнала.","Nigdy nie chciałem, żebyś się o tym dowiedziała!",0 days 00:11:30.865000,0 days 00:11:32.163000,dia26_utt11.mp4,dia26_utt11,0.3741828501,<low_arousal> I never meant for you to find out!
313,"Oh, please, you wanted to get caught.",Rachel,anger,negative,26,12,2,2,"Ach, red keinen Blödsinn! Du wolltest erwischt werden!","Ой, да ладно! Не ври! Ты хотела, чтобы тебя поймали!","O nie, proszę! Chciałaś, by to się wydało!",0 days 00:11:32.274000,0 days 00:11:35.985000,dia26_utt12.mp4,dia26_utt12,0.2951540053,"<low_arousal> Oh, please, you wanted to get caught."
314,That is not true!,Monica,anger,negative,26,13,2,2,Das ist nicht wahr!,Это неправда!,To nieprawda!,0 days 00:11:36.445000,0 days 00:11:37.696000,dia26_utt13.mp4,dia26_utt13,0.3850707412,<low_arousal> That is not true!
315,"Oh, so you just sort of happened to leave it in here?",Rachel,anger,negative,26,14,2,2,Und die Rechnung hast du zufällig in die Tasche gesteckt?,"Значит, ты просто так оставила его здесь?",I zostawiłaś to przez przypadek?,0 days 00:11:37.905000,0 days 00:11:40.323000,dia26_utt14.mp4,dia26_utt14,0.8332736492,"<high_arousal> Oh, so you just sort of happened to leave it in here?"
316,Did it ever occur to you that I might just be that stupid?,Monica,anger,negative,26,15,2,2,Hältst du mich wirklich für so dämlich?,"Тебе никогда не приходило в голову, что я просто настолько тупая?","Nie przyszło ci do głowy, że mogę być taka głupia?",0 days 00:11:41.409000,0 days 00:11:45.120000,dia26_utt15.mp4,dia26_utt15,0.9330599904,<high_arousal> Did it ever occur to you that I might just be that stupid?
317,"Ok, Monica. I just have to know one thing. Did you go with her to",Rachel,sadness,negative,26,16,2,2,"O.k., Monica, ich hätte da auch eine Frage an dich. Wart ihr zwei etwa auch im Kaufhaus?","Ладно, я только хочу узнать одну вещь. Ты ходила с ней в...","Dobrze, Moniko. Muszę tylko wiedzieć jedną rzecz. Czy poszedłeś z nią do…",0 days 00:11:47.039000,0 days 00:11:55.171000,dia26_utt16.mp4,dia26_utt16,0.6624472141,"<high_arousal> Ok, Monica. I just have to know one thing. Did you go with her to"
318,"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?",Chandler,neutral,neutral,47,0,2,6,"Ich fürchte, dass wir zu wenig mitgenommen haben. Hoffentlich hast du Bens Wickelkommode nicht vergessen.","Как-то маловато вещей мы взяли с собой. Может, надо было еще кроватку его взять?",Mamy za mało rzeczy. Zapomniałeś czegoś? Kowadła?,0 days 00:06:09.327000,0 days 00:06:13.747000,dia47_utt0.mp4,dia47_utt0,0.7160500884,"<high_arousal> You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?"
491,It's gonna be worth it.,Joey,neutral,neutral,47,1,2,6,"Du wirst dich wundern, wie gut das funktioniert.","Говорю тебе, это того стоит.","To się opłaci, mówię ci.",0 days 00:06:13.956000,0 days 00:06:15.999000,dia47_utt1.mp4,dia47_utt1,0.6023640633,<high_arousal> It's gonna be worth it.
492,"It's a known fact that women love babies, all right?",Joey,neutral,neutral,47,2,2,6,"Du weißt ganz genau, dass Frauen ganz verrückt nach Babys sind.","Все знают, что женщины без ума от детей.","To znany fakt, kobiety lubią dzieci, prawda?",0 days 00:06:16.167000,0 days 00:06:19.252000,dia47_utt2.mp4,dia47_utt2,0.6257460117,"<high_arousal> It's a known fact that women love babies, all right?"
493,Women love guys who love babies.,Joey,neutral,neutral,47,3,2,6,"Und Frauen mögen Männer, die Babys mögen.","И от парней, которые любят детей.","I kochają facetów, którzy lubią dzieci.",0 days 00:06:19.420000,0 days 00:06:21.402000,dia47_utt3.mp4,dia47_utt3,0.6625139713,<high_arousal> Women love guys who love babies.
494,It's that whole sensitive thing.,Joey,neutral,neutral,47,4,2,6,,Это как-то связано с эмоциями.,To emocje.,0 days 00:06:21.402000,0 days 00:06:22.984000,dia47_utt4.mp4,dia47_utt4,0.4441916943,<low_arousal> It's that whole sensitive thing.
495,"Quick, aim him at that pack o' babes over there.",Joey,neutral,neutral,47,5,2,6,"Stell dich so hin, dass die drei das Baby sehen.",Нацель его на вон тех красоток.,"Szybko, wyceluj go w to stado lasek.",0 days 00:06:23.758000,0 days 00:06:25.730000,dia47_utt5.mp4,dia47_utt5,0.4690675437,"<low_arousal> Quick, aim him at that pack o' babes over there."
496,Maybe one of them will break away.,Joey,neutral,neutral,47,6,2,6,Vielleicht kommt dann eine.,"Может, одна из них и обомлеет.",Może któraś pęknie.,0 days 00:06:25.730000,0 days 00:06:27.684000,dia47_utt6.mp4,dia47_utt6,0.526725173,<high_arousal> Maybe one of them will break away.
497,"No, no wait, for get them, we got one, hard left.",Joey,joy,positive,47,7,2,6,"Warte, vergiss die drei. Halt ihn nach links.","Так, забудь. Рыбка слева на крючке.",Zaraz. Mamy jedną. Po lewej.,0 days 00:06:28.346000,0 days 00:06:31.765000,dia47_utt7.mp4,dia47_utt7,0.4927920699,"<low_arousal> No, no wait, for get them, we got one, hard left."
498,"All right, gimme the baby.",Joey,neutral,neutral,47,8,2,6,Gib ihn mir mal.,Дай мне ребенка.,Daj mi go.,0 days 00:06:31.933000,0 days 00:06:32.775000,dia47_utt8.mp4,dia47_utt8,0.8372673988,"<high_arousal> All right, gimme the baby."
499,"No, I got him.",Chandler,neutral,neutral,47,9,2,6,"Nein, ich behalte ihn.","Нет, я его держу.","Nie, ja.",0 days 00:06:32.775000,0 days 00:06:33.769000,dia47_utt9.mp4,dia47_utt9,0.4049432576,"<low_arousal> No, I got him."
